1,0,Main,0
2,1,Tab Home,11954
3,2,Group Clipboard,12597
4,3,Paste Menu,15502
5,3,Paste,22
6,3,Paste,22
7,3,Paste Special Dialog,755
8,3,Paste As Hyperlink,2787
9,3,Paste Duplicate,571
10,3,Cut,21
11,3,Copy,19
12,3,Format Painter,108
13,3,Show Clipboard,809
14,2,Group Slides,11579
15,14,Slide New Gallery,11525
16,14,Duplicate Selected Slides,2890
17,14,Slides From Outline,2704
18,14,Slides Reuse Slides,2703
19,14,Slide Layout Gallery,11526
20,14,Slide Reset,6264
21,14,Slide Delete,2696
22,2,Group Font,11543
23,22,Font,1728
24,22,Font Size,1731
25,22,Font Size Increase,403
26,22,Font Size Decrease,404
27,22,Clear Formatting,11739
28,22,Bold,113
29,22,Italic,114
30,22,Underline,115
31,22,Shadow,686
32,22,Strikethrough,290
33,22,Change Case Gallery,13093
34,22,Character Spacing Gallery,14015
35,22,Font Color Picker,11949
36,22,Font Color More Colors Dialog Power Point,4262
37,22,Font Dialog Power Point,16033
38,2,Group Paragraph,11544
39,38,Bullets Gallery,11522
40,38,Bullets And Numbering Bullets Dialog,783
41,38,Numbering Gallery,11523
42,38,Bullets And Numbering Numbering Dialog,6123
43,38,Indent Decrease,3508
44,38,Indent Increase,3507
45,38,Text Direction Left To Right,1846
46,38,Text Direction Right To Left,1847
47,38,Align Left,120
48,38,Align Center,122
49,38,Align Right,121
50,38,Align Justify,123
51,38,Paragraph Distributed,2792
52,38,Align Justify Thai,13904
53,38,Align Justify Menu,13097
54,38,Align Justify With Mixed Languages,13900
55,38,Align Justify Low,13901
56,38,Line Spacing Gallery Power Point,11524
57,38,Table Columns Gallery,11950
58,38,Paragraph More Columns Dialog,15168
59,38,Text Direction Gallery,13235
60,38,Text Direction More Options Dialog,15166
61,38,Text Align Gallery,13994
62,38,Text Align More Options Dialog,15167
63,38,Convert To Smart Art,14226
64,38,Convert To Smart Art More Smart Art Graphics Dialog,14227
65,38,Power Point Paragraph Dialog,16034
66,2,Group Drawing,204
67,66,Gallery All Shapes And Textboxes,16038
68,66,Objects Arrange Menu,16073
69,66,Object Bring To Front,166
70,66,Object Send To Back,167
71,66,Object Bring Forward,170
72,66,Object Send Backward,171
73,66,Objects Group,164
74,66,Objects Ungroup,165
75,66,Objects Regroup,338
76,66,Object Align Menu,11920
77,66,Objects Align Left Smart,12784
78,66,Objects Align Center Horizontal Smart,12788
79,66,Objects Align Right Smart,12785
80,66,Objects Align Top Smart,12786
81,66,Objects Align Middle Vertical Smart,12789
82,66,Objects Align Bottom Smart,12787
83,66,Align Distribute Horizontally,12790
84,66,Align Distribute Vertically,12791
85,66,Objects Align Relative To Container Smart,12783
86,66,Objects Align Selected Smart,12782
87,66,View Gridlines Power Point,7055
88,66,Grid Settings,217
89,66,Object Rotate Gallery,11924
90,66,Object Rotation Options Dialog,15678
91,66,Selection Pane,13244
92,66,Shape Quick Styles Home,16037
93,66,Shape Styles Other Theme Fills Gallery,13779
94,66,Shape Fill Color Picker,11689
95,66,Object Fill More Colors Dialog,1051
96,66,Object Picture Fill,12612
97,66,Gradient Gallery,12116
98,66,Shape Fill More Gradients Dialog,12683
99,66,Shape Fill Texture Gallery,11531
100,66,More Texture Options,15679
101,66,Shape Outline Color Picker,15293
102,66,Object Border Outline Color More Colors Dialog,1052
103,66,Outline Weight Gallery,11866
104,66,Line Styles Dialog,1054
105,66,Outline Dashes Gallery,11865
106,66,Line Styles Dialog,1054
107,66,Arrow Style Gallery,11864
108,66,Arrows More,1055
109,66,Shape Effects Menu,14861
110,66,Object Effect Preset Gallery,11642
111,66,_3DBevel Options Dialog,13233
112,66,Object Effect Shadow Gallery,12118
113,66,Shadow Options Dialog,12684
114,66,Reflection Gallery,14229
115,66,Object Effect Glow Gallery,12115
116,66,Glow Color Picker,14766
117,66,Glow Color More Colors Dialog,14768
118,66,Object Effect Soft Edges Gallery,12102
119,66,Bevel Shape Gallery,14696
120,66,_3DBevel Options Dialog,13233
121,66,_3DRotation Gallery,11644
122,66,_3DRotation Options Dialog,13232
123,66,Object Format Dialog,962
124,2,Group Editing,12580
125,124,Find Dialog,141
126,124,Replace Menu,15310
127,124,Replace Dialog,313
128,124,Replace Dialog,313
129,124,Fonts Replace Fonts,2711
130,124,Select Menu,11926
131,124,Select All,756
132,124,Objects Select,182
133,124,Selection Pane,13244
134,1,Tab Insert,11536
135,134,Group Insert Tables,12598
136,135,Table Insert Gallery,13821
137,135,Table Insert,8
138,135,Table Draw Table,2059
139,135,Excel Spreadsheet Insert,13905
140,134,Group Insert Illustrations,11548
141,140,Picture Insert From File Power Point,931
142,140,Clip Art Insert,682
143,140,Photo Album Insert Menu,15786
144,140,Photo Album Insert,7063
145,140,Photo Album Insert,7063
146,140,Photo Album Edit,7064
147,140,Shapes Insert Gallery,11529
148,140,Smart Art Insert,1032
149,140,Chart Insert,17
150,134,Group Insert Links,12599
151,150,Hyperlink Insert,1576
152,150,Action Insert,2892
153,134,Group Insert Text,15291
154,153,Text Box Insert,139
155,153,Text Box Insert Menu,13098
156,153,Text Box Insert Horizontal,13099
157,153,Text Box Insert Vertical,318
158,153,Header Footer Insert,762
159,153,Word Art Insert Gallery,12119
160,153,Date And Time Insert,768
161,153,Number Insert,769
162,153,Symbol Insert,308
163,153,Ole Objectct Insert,546
164,134,Group Insert Media Clips,11582
165,164,Movie Insert,11922
166,164,Movie From File Insert,2706
167,164,Movie From File Insert,2706
168,164,Movie From Clip Organizer Insert,2705
169,164,Sound Insert Menu,11923
170,164,Sound Insert From File,2708
171,164,Sound Insert From File,2708
172,164,Sound Insert From Clip Organizer,2707
173,164,CDAudio Play Track,2709
174,164,Sound Record,2881
175,134,Group Insert Barcode,12601
176,175,Barcode Insert,11335
177,175,Label Insert,11331
178,1,Tab Design,11576
179,178,Group Page Setup,11551
180,179,Power Point Page Setup,16035
181,179,Slide Orientation Gallery,13925
182,178,Group Slide Themes,11583
183,182,Slide Themes Gallery,11310
184,182,Theme Search Office Online Power Point,12304
185,182,Theme Browse For Themes Power Point,10022
186,182,Theme Save Current Power Point,13990
187,182,Theme Colors Gallery,12245
188,182,Theme Colors Create New,12680
189,182,Theme Colors Reset,13209
190,182,Theme Fonts Gallery,12863
191,182,Theme Fonts Create New,12681
192,182,Theme Effects Gallery,12864
193,178,Group Background,11585
194,193,Slide Background Styles Gallery,13234
195,193,Slide Background Format Dialog,1706
196,193,Slide Background Reset,15257
197,193,Slide Background Hide Graphics,13092
198,193,Slide Background Format Dialog,1706
199,1,Tab Animations,11577
200,199,Group Preview,11586
201,200,Animation Preview,12565
202,199,Group Animations,11587
203,202,Animation Gallery,11942
204,202,Animation Custom,730
205,199,Group Transition To This Slide,11588
206,205,Animation Transition Gallery,11943
207,205,Animation Transition Sound Gallery,12611
208,205,Transition Sound Loop Until Next Sound,14862
209,205,Animation Transition Speed Gallery,11944
210,205,Slide Transition Apply To All,12563
211,205,Advance Slide Label,15156
212,205,Slide Transition On Mouse Click,12564
213,205,Slide Transition Automatically After,13924
214,205,Transition Time Automatically After,13917
215,1,Tab Slide Show,11578
216,215,Group Slide Show Start,11590
217,216,Slide Show From Beginning,12629
218,216,Slide Show From Current,11521
219,216,Slide Show Custom Menu,12801
220,215,Group Slide Show Setup,11591
221,220,Slide Show Set Up Dialog,2744
222,220,Slide Hide,729
223,220,Record Narration,2743
224,220,Slide Show Rehearse Timings,734
225,220,Slide Show Use Rehearsed Timings,12803
226,215,Group Monitors,12805
227,226,Slide Show Resolution Gallery,12802
228,226,Slide Show Show Presentation On Gallery,12804
229,226,Slide Show Use Presenter View,11863
230,1,Tab Review,11601
231,230,Group Proofing,11546
232,231,Spelling,2
233,231,Research Pane,7343
234,231,Thesaurus,9056
235,231,Translate,7021
236,231,Hangul Hanja Conversion Power Point,2978
237,231,Set Language,790
238,230,Group Comments,11563
239,238,Review Show Or Hide Markup,6547
240,238,Review New Comment,1589
241,238,Review Edit Comment,2056
242,238,Review Delete Comments Menu Power Point,13094
243,238,Review Delete Comment Power Point,6544
244,238,Review Delete Comment Power Point,6544
245,238,Review Delete All Markup On Slide,6919
246,238,Review Delete All Markup In Presentation,15501
247,238,Review Previous Comment Power Point,6546
248,238,Review Next Comment Power Point,6545
249,230,Group Permission,16134
250,249,Review Protect Presentation Menu,16137
251,249,File Permission Unrestricted,7990
252,249,File Permission Do Not Distribute,7991
253,249,File Permission Restrict As,10014
254,230,Group Ink,13964
255,254,Inking Start,9071
256,1,Tab View,11541
257,256,Group Presentation Views,15645
258,257,View Normal View Power Point,3816
259,257,View Slide Sorter View,738
260,257,View Notes Page View,739
261,257,View Slide Show View,740
262,257,View Slide Master View,741
263,257,View Handout Master View,2698
264,257,View Notes Master View,2699
265,256,Group View Show Hide,15640
266,265,View Ruler Power Point,179
267,265,View Gridlines,15643
268,265,View Message Bar,13362
269,265,View Direction Menu,15728
270,265,View Direction Left To Right,3855
271,265,View Direction Right To Left,3856
272,256,Group Zoom,11813
273,272,Zoom Dialog,925
274,272,Zoom Fit To Window,15681
275,256,Group Color Grayscale,15646
276,275,View Display In High Contrast,5875
277,275,View Display In Color,14413
278,275,View Display In Grayscale,5874
279,275,View Display In Pure Black And White,5876
280,256,Group Window,15641
281,280,Window New,303
282,280,Windows Arrange All,298
283,280,Windows Cascade,1826
284,280,Window Move Split,3899
285,280,Window Switch Windows Menu Power Point,12671
286,280,Window Name Goes Here,830
287,280,Window Name Goes Here,830
288,280,Window Name Goes Here,830
289,280,Window Name Goes Here,830
290,280,Window Name Goes Here,830
291,280,Window Name Goes Here,830
292,280,Window Name Goes Here,830
293,280,Window Name Goes Here,830
294,280,Window Name Goes Here,830
295,280,Window More Windows Dialog,959
296,256,Group Macros,16104
297,296,Macro Play,186
298,1,Tab Developer,12557
299,298,Group Code,12556
300,299,Visual Basic,1695
301,299,Macro Play,186
302,299,Macro Security,3627
303,298,Group Controls,11811
304,303,Active XLabel,1858
305,303,Active XText Box,1850
306,303,Active XSpin Button,1856
307,303,Active XButton,1851
308,303,Active XImage,2089
309,303,Active XScroll Bar,1857
310,303,Active XCheck Box,1848
311,303,Active XRadio Button,1852
312,303,Active XCombo Box,1854
313,303,Active XList Box,1853
314,303,Active XToggle Button,1855
315,303,More Controls Dialog,12555
316,303,Control Properties,13100
317,303,View Visual Basic Code,1561
318,298,Group Modify,14597
319,318,Document Panel Template,14596
320,1,Tab Add Ins,12308
321,320,Group Add Ins Menu Commands,13950
322,320,Group Add Ins Toolbar Commands,13951
323,320,Group Add Ins Custom Toolbars,14337
324,1,Tab Slide Master Home,13814
325,324,Group Clipboard,12597
326,325,Paste Menu,15502
327,325,Paste,22
328,325,Paste,22
329,325,Paste Special Dialog,755
330,325,Paste As Hyperlink,2787
331,325,Paste Duplicate,571
332,325,Cut,21
333,325,Copy,19
334,325,Format Painter,108
335,325,Show Clipboard,809
336,324,Group Slides,11579
337,336,Slide New Gallery,11525
338,336,Duplicate Selected Slides,2890
