1,0,Main,0
2,1,Tab Print Preview Access,14206
3,2,Group Print Preview Print Access,14207
4,3,Print Dialog Access,15948
5,2,Group Page Layout Access,11812
6,5,Page Size Gallery,12610
7,5,Page Orientation Portrait,6259
8,5,Page Orientation Landscape,6258
9,5,Page Margins Gallery,11475
10,5,Show Margins,12370
11,5,Print Data Only,12870
12,5,Print Columns,12869
13,5,Page Setup Dialog,247
14,5,Page Setup Dialog,247
15,2,Group Zoom,11813
16,15,Print Preview Zoom Menu,15993
17,15,Zoom Print Preview Excel,25
18,15,Zoom Fit To Window,15681
19,15,Print Preview Zoom10,1834
20,15,Print Preview Zoom25,1833
21,15,Print Preview Zoom50,1832
22,15,Print Preview Zoom75,1831
23,15,Zoom100,7
24,15,Print Preview Zoom150,1830
25,15,Print Preview Zoom200,1829
26,15,Print Preview Zoom500,6463
27,15,Print Preview Zoom1000,6464
28,15,Zoom One Page,5
29,15,Print Preview Zoom Two Pages,639
30,15,Print Preview Multiple Pages Menu,15069
31,15,Print Preview Four Pages,1801
32,15,Print Preview Eight Pages,1800
33,15,Print Preview Twelve Pages,1799
34,2,Group Print Preview Data,15753
35,34,Export Excel,11723
36,34,Data Refresh All,2862
37,34,Export Share Point List,11724
38,34,Publish To Pdf Or Edoc,12951
39,34,Export Word,11725
40,34,Export Text File,11727
41,34,Export More Menu,11790
42,2,Group Print Preview Close Preview,15754
43,42,Print Preview Close,923
44,1,Tab Home Access,11808
45,44,Group Views,15655
46,45,Views Mode Menu,11757
47,45,Views Switch To Default View,15634
48,45,Views Form View,502
49,45,Views Datasheet View,12329
50,45,Views Report View,11253
51,45,Views Adp Diagram Print Preview,15996
52,45,Views Pivot Table View,5814
53,45,Views Pivot Chart View,5815
54,45,Views Adp Diagram Sql View,528
55,45,Views Layout View,13157
56,45,Views Design View,2952
57,44,Group Clipboard,12597
58,57,Paste Special,6002
59,57,Paste,22
60,57,Paste,22
61,57,Paste Special Dialog,755
62,57,Paste Append,2075
63,57,Cut,21
64,57,Copy,19
65,57,Format Painter,108
66,57,Show Clipboard,809
67,44,Group Text Formatting,11769
68,67,Font,1728
69,67,Font Size,1731
70,67,Align Left,120
71,67,Align Center,122
72,67,Align Right,121
73,67,Bold,113
74,67,Italic,114
75,67,Underline,115
76,67,Font Color Picker,11949
77,67,Font Fill Back Color Picker,15744
78,67,Gridlines Gallery,545
79,67,Font Alternate Fill Back Color Picker,14188
80,67,Format Cells Dialog,855
81,44,Group Rich Text,11818
82,81,Align Left To Right Menu,11771
83,81,Text Direction Left To Right,1846
84,81,Text Direction Left To Right,1846
85,81,Text Direction Right To Left,1847
86,81,Indent Increase,3507
87,81,Indent Decrease,3508
88,81,Numbering,11
89,81,Bullets,12
90,81,Text Highlight Color Picker,13926
91,44,Group Records,12073
92,91,Go To New Record,539
93,91,Records Refresh Menu,12710
94,91,Data Refresh All,2862
95,91,Records Refresh Records,1804
96,91,Synchronize Data,11752
97,91,Records Save Record,538
98,91,Clear Menu Access,12705
99,91,Delete,478
100,91,Delete,478
101,91,Records Delete Record,644
102,91,Records Delete Column,15995
103,91,Records Totals,13084
104,91,Spelling Access,12328
105,91,Records More Records Menu,11764
106,91,Records Add From Outlook,12617
107,91,Records Save As Outlook Contact,12618
108,91,Row Height,541
109,91,Records Subdatasheet Menu,11766
110,91,Records Insert Subdatasheet,3852
111,91,Records Remove Subdatasheet,3851
112,91,Records Expand All Subdatasheets,3986
113,91,Records Collapse All Subdatasheets,3987
114,91,Records Hide Columns,1955
115,91,Records Unhide Columns,2764
116,91,Records Freeze Columns,544
117,91,Records Unfreeze,1794
118,91,Column Width,542
119,44,Group Sort And Filter,11758
120,119,Sort Up,210
121,119,Filters Menu,11761
122,119,Sort Down,211
123,119,Sort Remove All Sorts,12267
124,119,Sort Selection Menu,11759
125,119,Filter Equals Selection,10068
126,119,Filter Not Equals Selection,10071
127,119,Filter Begins With Selection,10090
128,119,Filter Does Not Begins With Selection,12265
129,119,Filter Contains Selection,10076
130,119,Filter Does Not Contain Selection,10089
131,119,Filter Ends With Selection,10091
132,119,Filter Does Not End With Selection,12266
133,119,Filter Before Selection,10092
134,119,Filter After Selection,10093
135,119,Filter Smaller Than Selection,10095
136,119,Filter Larger Than Selection,10094
137,119,Filter Between,10062
138,119,Filter Is Selected,15195
139,119,Filter Is Not Selected,15196
140,119,Filter Advanced Menu,13278
141,119,Filter Clear All Filters,605
142,119,Filter Advanced By Form,628
143,119,Apply Filter,497
144,119,Server Filter By Form,3971
145,119,Server Filter Apply,3938
146,119,Sort And Filter Advanced,499
147,119,Load From Query,1791
148,119,Save As Query,1790
149,119,Delete Tab,2076
150,119,Clear Grid,2087
151,119,Close Document,14782
