1,0,Main,0
2,1,Tab Appointment,14923
3,2,Group Send,14997
4,3,Send Default,2617
5,3,Send Update,1983
6,3,Account Menu,15108
7,3,Send Account Gallery,22967
8,3,Save And Close,1975
9,3,Post,2575
10,2,Group Recover,16066
11,10,Recover Invite To Meeting,1911
12,2,Group Actions,15055
13,12,Save And Close,1975
14,12,Cancel Meeting,1657
15,12,Delete,478
16,12,Remove From Calendar,1564
17,12,Open In Browser Outlook,13428
18,12,Copy To Personal Calendar,2572
19,12,Custom Actions Menu,15054
20,12,Custom Actions Gallery,22975
21,12,View Appointment In Calendar,1987
22,12,Forward Menu,14359
23,12,Forward In Forward Menu,15952
24,12,Forward As I Calendar,5459
25,12,Delete Distribution Group,21049
26,12,Contact Send Group Menu,21048
27,12,Forward As V Card,5573
28,12,Forward Contact,13260
29,12,Copy To Personal Contacts,695
30,12,New Contact Menu,16071
31,12,Save And New,1665
32,12,New Contact From Same Company,1908
33,12,Contact Send Menu,14967
34,12,Forward As Business Card,13040
35,12,Move To One Note,22382
36,12,Open In Web Browser,9061
37,12,Customize Search Folder,7794
38,12,Rename This Folder,2512
39,12,Copy This Folder,2499
40,12,Move This Folder,2506
41,12,Delete This Folder,2500
42,12,Forward,356
43,12,Toggle Mark As Unread,21047
44,12,Forward Task,21052
45,12,Menu Tasks More Actions,19715
46,12,Copy To Personal Task List,2573
47,2,Group Show,14920
48,47,Show Appointment Page,14934
49,47,Show Form Region Page,14919
50,47,Show Custom Page,14915
51,47,Show Scheduling Page,14935
52,47,Show Tracking Page,14916
53,47,Show Tracking Page Split Menu,18020
54,47,View Tracking Status,18019
55,47,O L Copy Tracking Status,18018
56,47,Show All Fields Page,14922
57,47,Show Custom Properties Page,14917
58,47,Show Custom Actions Page,14918
59,47,Show Members Page,14941
60,47,Show Notes Page,14942
61,47,Show Contact Page,14937
62,47,Show Details Page,14940
63,47,Show Certificates Page,14938
64,47,Show Journal Page,14990
65,47,Show Message Page,14914
66,47,Show Share Page,14960
67,47,Show Task Page,14986
68,47,Show Task Details Page,14987
69,2,Group Linked Meeting Notes,24502
70,69,Take Meeting Notes,24503
71,2,Group Attendees Meeting Not Sent,14930
72,71,Invite Attendees,1086
73,2,Group Attendees Meeting Sent,15979
74,73,Cancel Invitation,2487
75,73,Message To Attendees Menu,14924
76,73,New Message To Attendees,1981
77,73,Reply To All Attendees With Message,1984
78,73,Reply All With Instant Message,14384
79,73,Dial Menu,2616
80,73,Call,15185
81,73,Dial Gallery,22966
82,73,New Call,2501
83,73,Address Book,353
84,73,Check Names,361
85,73,Responses Menu,15778
86,73,Request Responses,1881
87,73,Allow New Time Proposals,6848
88,2,Group Respond,14350
89,88,Menu Accept Invitation,19984
90,88,Accept Invitation Edit Response,19985
91,88,Accept Invitation Send Response,19986
92,88,Accept Invitation No Response,19987
93,88,Menu Tentative Invitation,19992
94,88,Tentative Invitation Edit Response,19993
95,88,Tentative Invitation Send Response,19994
96,88,Tentative Invitation No Response,19995
97,88,Menu Decline Invitation,19988
98,88,Decline Invitation Edit Response,19989
99,88,Decline Invitation Send Response,19990
